[INFO:2023-05-03 08:58:40,344] **FILLING BUFFER** | Episode: 81 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.508
[INFO:2023-05-03 08:58:40,555] **FILLING BUFFER** | Episode: 82 | Timesteps Played: 175 | Mean Loss: 0.000 | Mean Reward: 0.343
[INFO:2023-05-03 08:58:40,742] **FILLING BUFFER** | Episode: 83 | Timesteps Played: 125 | Mean Loss: 0.000 | Mean Reward: 0.320
[INFO:2023-05-03 08:58:40,941] **FILLING BUFFER** | Episode: 84 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.636
[INFO:2023-05-03 08:58:41,189] **FILLING BUFFER** | Episode: 85 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.656
[INFO:2023-05-03 08:58:41,400] **FILLING BUFFER** | Episode: 86 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.486
[INFO:2023-05-03 08:58:41,654] **FILLING BUFFER** | Episode: 87 | Timesteps Played: 189 | Mean Loss: 0.000 | Mean Reward: 0.794
[INFO:2023-05-03 08:58:41,874] **FILLING BUFFER** | Episode: 88 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.622
[INFO:2023-05-03 08:58:42,114] **FILLING BUFFER** | Episode: 89 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.890
[INFO:2023-05-03 08:58:42,339] **FILLING BUFFER** | Episode: 90 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.296
[INFO:2023-05-03 08:58:42,555] **FILLING BUFFER** | Episode: 91 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.452
[INFO:2023-05-03 08:58:42,748] **FILLING BUFFER** | Episode: 92 | Timesteps Played: 137 | Mean Loss: 0.000 | Mean Reward: 0.438
[INFO:2023-05-03 08:58:42,974] **FILLING BUFFER** | Episode: 93 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.234
[INFO:2023-05-03 08:58:43,210] **FILLING BUFFER** | Episode: 94 | Timesteps Played: 195 | Mean Loss: 0.000 | Mean Reward: 0.615
[INFO:2023-05-03 08:58:43,451] **FILLING BUFFER** | Episode: 95 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.576
[INFO:2023-05-03 08:58:43,650] **FILLING BUFFER** | Episode: 96 | Timesteps Played: 155 | Mean Loss: 0.000 | Mean Reward: 0.516
[INFO:2023-05-03 08:58:44,182] **FILLING BUFFER** | Episode: 97 | Timesteps Played: 521 | Mean Loss: 0.000 | Mean Reward: 0.653
[INFO:2023-05-03 08:58:44,398] **FILLING BUFFER** | Episode: 98 | Timesteps Played: 181 | Mean Loss: 0.000 | Mean Reward: 0.497
[INFO:2023-05-03 08:58:44,639] **FILLING BUFFER** | Episode: 99 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.622
